DyeallE,Ename,SMILE_Substrate1,S2_smile,SMILE_Product1,P2_smile,P3_smile,P4_smile,P5_smile,P6_smile,Reaction,E_Code,Entry Name
sunset yellow fcf,E112,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-],C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(S(=O)(=O)[O-])cc1,Nc1c(O)ccc2cc(S(=O)(=O)[O-])ccc12,,,,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-] -> C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(S(=O)(=O)[O-])cc1 + Nc1c(O)ccc2cc(S(=O)(=O)[O-])ccc12,E112,C0STY0_9BACI
methyl orange,E113,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-],C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccc(S(=O)(=O)[O-])cc1,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-] -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccc(S(=O)(=O)[O-])cc1,E113,A0A5P8AMA9_STRSQ
methyl red,E113,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E113,A0A5P8AMA9_STRSQ
brilliant black,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1c(S(=O)(=O)[O-])cc2c(S(=O)(=O)[O-])ccc(NC(C)=O)c2c1O,Nc1ccc(N)c2cc(S(=O)(=O)[O-])ccc12,Nc1ccc(S(=O)(=O)[O-])cc1,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-] -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1c(S(=O)(=O)[O-])cc2c(S(=O)(=O)[O-])ccc(NC(C)=O)c2c1O + Nc1ccc(N)c2cc(S(=O)(=O)[O-])ccc12 + Nc1ccc(S(=O)(=O)[O-])cc1,E114,U6C3Q1_BRELA
brilliant crocein,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N)cc1,Nc1ccccc1,Nc1c(O)ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c12,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N)cc1 + Nc1ccccc1 + Nc1c(O)ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c12,E114,U6C3Q1_BRELA
brilliant yellow,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)N=NC4=CC=C(C=C4)O)S(=O)(=O)[O-])S(=O)(=O)[O-])O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,Nc1ccc(O)cc1,Nc1ccc(O)cc1,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC(=CC=C1N=NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)N=NC4=CC=C(C=C4)O)S(=O)(=O)[O-])S(=O)(=O)[O-])O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1 + Nc1ccc(O)cc1 + Nc1ccc(O)cc1,E114,U6C3Q1_BRELA
ethyl red,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(CC)CC)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(CC)CC)cc1 + Nc1ccccc1C(=O)O,E114,U6C3Q1_BRELA
methyl orange,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-],C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccc(S(=O)(=O)[O-])cc1,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-] -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccc(S(=O)(=O)[O-])cc1,E114,U6C3Q1_BRELA
methyl red,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E114,U6C3Q1_BRELA
ponceau s,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N)cc1S(=O)(=O)[O-],Nc1ccc(S(=O)(=O)[O-])cc1,Nc1c(O)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])ccc12,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-] -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N)cc1S(=O)(=O)[O-] + Nc1ccc(S(=O)(=O)[O-])cc1 + Nc1c(O)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])ccc12,E114,U6C3Q1_BRELA
sudan orange g,E114,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccccc1,Nc1ccc(O)cc1O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccccc1 + Nc1ccc(O)cc1O,E114,U6C3Q1_BRELA
1-(2-pyridylazo)-2-napthol,E115,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1c(O)ccc2ccccc12,Nc1ccccn1,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1c(O)ccc2ccccc12 + Nc1ccccn1,E115,AZOR_GEOSE
acid red 88,E115,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C4=CC=CC=C43)S(=O)(=O)[O-])O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1c(O)ccc2ccccc12,Nc1ccc(S(=O)(=O)[O-])c2ccccc12,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C4=CC=CC=C43)S(=O)(=O)[O-])O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1c(O)ccc2ccccc12 + Nc1ccc(S(=O)(=O)[O-])c2ccccc12,E115,AZOR_GEOSE
ethyl red,E115,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(CC)CC)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(CC)CC)cc1 + Nc1ccccc1C(=O)O,E115,AZOR_GEOSE
methyl red,E115,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E115,AZOR_GEOSE
methyl red,E117,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E117,NQRED_PSEAE
methyl red,E117,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E117,NQRED_PSEAE
methyl red,E118,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,Nc1ccc(N(C)C)cc1,Nc1ccccc1C(=O)O,,,,C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O + CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O -> C1C=CN(C=C1C(=O)[N+])[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O + Nc1ccc(N(C)C)cc1 + Nc1ccccc1C(=O)O,E118,Q9I5R1_PSEAE
